word,definition
ALANT,"a large hunting dog, also ALAN, ALAND [n -S]"
ALARM,"to strike with fear [v -ED, -ING, -S]"
ALARY,"of or pertaining to the wing or shoulder, also ALAR [adj]"
ALATE,"having wings, also ALATED [adj] / a winged insect [n -S]"
ALAYS,"ALAY, to quell, also ALLAY, ALEYE [v]"
ALBAS,"ALBA, the white substance of the brain [n]"
ALBUM,a book for storing photographs and stamps [n -S]
ALCID,"a diving sea bird, an auk [n -S]"
ALDER,"any tree of the genus Alnus, related to the birches [n -S]"
ALDOL,a chemical compound used as a solvent and also as a sedative [n -S]
ALECK,an irritatingly smart person [n -S]
ALECS,"ALEC, a herring [n]"
ALERT,"ready for sudden action [adj ALERTER, ALERTEST, ALERTLY] / to warn [v -ED, -ING, -S]"
ALEYE,"to quell, also ALLAY, ALAY [v ALEYED, ALEYING, ALEYES]"
ALGAL,"of or like alga, any member of the algae, seaweeds [adj]"
ALGID,"cold or chill, esp. applied to a cold fit in disease [adj]"
ALGIN,"sodium alginate, a gummy nitrogenous organic compound obtained from seaweeds [n -S]"
ALGOR,"coldness; a shivering fit, esp. that experienced at the onset of a fever [n -S]"
ALIBI,"the plea in a criminal charge of having been elsewhere at the relevant time [n -S] / to give an alibi to [v ALIBIED, ALIBIING, ALIBIS or ALIBIES]"
ALIEN,"foreign [adj ALIENLY] / to alienate [v -ED, -ING, -S]"
ALIGN,"to arrange in line [v -ED, -ING, -S]"
ALIKE,having close resemblance [adj]
ALINE,"to arrange in a straight line [v ALINED, ALINING, ALINES]"
ALIST,leaning to one side [adj]
ALIVE,living [adj]
ALKIE,"an alcoholic, also ALKY [n -S]"
ALKYD,any of a group of synthetic resins [n -S]
ALKYL,any radical derived from an alkane by removal of a hydrogen atom [n -S]
ALLAY,"to reduce in intensity or severity, also ALAY, ALEYE [v -ED, -ING, -S]"
ALLEY,"a narrow passageway, also ALLEYWAY [n -S]"
ALLIS,"a fish of the shad family, also ALLICE [n -ES]"
ALLOD,an estate held in absolute ownership [n -S]
ALLOT,"to give as a share or portion [v ALLOTTED, ALLOTTING, ALLOTS]"
ALLOW,"to put no obstacle in the way of [v -ED, -ING, -S]"
ALLOY,"to combine a mixture of metals [v -ED, -ING, -S]"
ALLYL,an organic radical existing esp. in oils of garlic and mustard [n -S]
ALMUD,"a Spanish unit of capacity, also ALMUDE [n -S]"
ALODS,"ALOD, an estate held in absolute ownership, without acknowledgement to a superior, also ALLOD, ALLODIUM, ALODIUM [n]"
ALOED,planted or flavoured with aloes [adj]
ALOES,"ALOE, any member of the genus Aloe, consisting mostly of trees and shrubs of the lily family [n]"
ALOFT,on high [adv]
ALOIN,a kind of laxative [n -S]
ALONE,"solitary, apart from others [adj ALONELY]"
ALONG,onward [adv]
ALOOF,distant in interest or feeling [adj ALOOFLY]
ALOUD,audibly [adv]
ALTAR,a raised structure used in worship [n -S]
ALTER,"to make different [v -ED, -ING, -S]"
ALTHO,although [conj]
ALUMS,"ALUM, a sulphate of ammonium and potassium, used as a mordant [n]"
AMASS,"to accumulate [v -ED, -ING, -ES]"
AMAZE,"to overwhelm with astonishment [v AMAZED, AMAZING, AMAZES]"
AMBER,"a fossil resin, used for ornaments etc. [n -S]"
AMBIT,"a circuit, compass, or circumference esp. a space surrounding a house, castle, town, etc. [n -S]"
AMBLE,"to saunter [v AMBLED, AMBLING, AMBLES]"
AMBOS,"AMBO, a pulpit in an early Christian church [n]"
AMBRY,"a cupboard for sacred vessels, also ALMERY, AMBERY, AUMBRY, AWMRIE, AWMRY [n AMBRIES]"
AMEND,"to correct, improve [v -ED, -ING, -S]"
AMENE,"pleasant, offering amenity [adj]"
AMENS,"AMEN, to conclude prayerfully [v]"
AMENT,a mentally deficient person [n -S]
AMIAS,"AMIA, a freshwater fish, aka bowfin [n]"
AMICE,"a furred hood with long ends hanging down in front, worn by certain religious orders, also ALMUCE [n -S]"
AMIDE,"a compound formed by the union of amidogen with an acid element or radical, also AMID [n -S]"
AMIDO,containing an amide united with an acid radical [adj]
AMIDS,"AMID, a compound formed by the union of amidogen with an acid element or radical, also AMIDE [n]"
AMINE,"a compound derived from ammonia, also AMIN [n -S]"
AMINO,a compound containing an amine with a nonacid radical [n -S]
AMINS,"AMIN, a compound derived from ammonia, also AMINE [n]"
AMISS,"wrongly, astray [adv] / an evil, a misdeed [n -ES]"
AMITY,friendship [n AMITIES]
AMLAS,"AMLA, an East Indian tree [n]"
AMNIC,pertaining to the amnion [adj]
AMOLE,a plant root used as soap [n -S]
AMONG,"in the midst of, also EMONG, EMONGES [prep]"
AMPLE,"plentiful [adj AMPLER, AMPLEST, AMPLY]"
AMPLY,"AMPLE, plentiful [adv]"
AMPUL,"a small sealed glass, also AMPOULE, AMPULE [n -S]"
AMUSE,"to entertain [v AMUSED, AMUSING, AMUSES]"
AMYLS,"AMYL, an alcohol radical, also PENTYL [n]"
ANCHO,a type of dried chili pepper [n -S]
ANDRO,a type of sex hormone [n -S]
ANELE,"to anoint with extreme unction [v ANELED, ANELING, ANELES]"
ANGEL,"to support financially [v -ED, -ING, -S]"
ANGER,"wrath [adj ANGERLY] / to make angry [v -ED, -ING, -S]"
ANGLE,"to with hook and line [v ANGLED, ANGLING, ANGLES]"
ANGLO,a white inhabitant of the US not of Latin origin [n -S]
ANGRY,"having anger [adj ANGRIER, ANGRIEST, ANGRILY] / an angry person [n ANGRIES]"
ANIGH,nigh [adv]
ANILE,old-womanish [adj]
ANION,"an ion with a negative electrical charge, having gained one or more electrons [n -S]"
ANISE,an annual Mediterranean plant of the carrot family [n -S]
ANKER,an old wine measure [n -S]
ANKLE,"the joint connecting the foot and leg, also ANCLE [n -S] / to walk [v ANKLED, ANKLING, ANKLES]"
ANLAS,"a short two-edged dagger, also ANELACE, ANLACE [n -ES]"
ANNAL,a record of a single year [n -S]
ANNEX,"to join or attach [v -ED, -ING, -ES]"
ANNOY,"to be troublesome to [v -ED, -ING, -S]"
ANNUL,"to declare void [v ANNULLED, ANNULLING, ANNULS]"
ANOAS,"ANOA, a wild ox of the Celebes [n]"
ANODE,a positively charged electrode [n -S]
ANTED,"ANTE, to put a fixed stake in the pot at poker [v]"
ANTES,"ANTE, to put a fixed stake in the pot at poker [v]"
ANTIC,"quaint, also ANTICK [adj ANTICLY or ANTICALLY] / to act in a clownish manner [v ANTICKED, ANTICKING, ANTICS]"
ANTIS,"ANTI, one who is opposed to anything [n]"
ANTSY,"eager, excited [adj ANTSIER, ANTSIEST]"
ANURA,frogs and toads [n]
ANVIL,"an iron block on which metal can be hammered into shape [n -S] / to shape on a heavy iron block [v ANVILLED or ANVILED, ANVILLING or ANVILING, ANVILS]"
ANYON,an elementary particle having properties intermediate between those of bosons and fermions [n -S]
APACE,in a state of haste [adv]
APAID,"APAY, to satisfy, also APPAY [v]"
APART,separate [adv]
APAYD,"APAY, to satisfy, also APPAY [v]"
APAYS,"APAY, to satisfy, also APPAY [v]"
APEAK,"of an anchor, in a vertical position, also APEEK [adv]"
APEEK,"of an anchor, in a vertical position, also APEAK [adv]"
APERS,"APER, one who mimics [n]"
APERY,the act of aping [n APERIES]
APGAR,"as in apgar score, a system for determining the condition of an infant at birth [adj]"
APHID,"a plant-louse, a small homopterous insect that sucks plant juices, also APHIS [n -S]"
APHIS,"a plant-louse, a member of genus Aphis which includes greenfly, etc., also APHID [n APHIDES]"
APIAN,relating to bees [adj]
APING,"APE, to mimic [v]"
APIOL,an oily liquid derived from parsley [n -S]
APISH,like an ape [adj APISHLY]
APISM,the state of being like an ape [n -S]
APNEA,"a temporary cessation of breathing, also APNOEA [n -S]"
APODE,"an animal without feet or fins, also APOD [n -S]"
APODS,"APOD, an animal without feet or fins, also APODE [n]"
APOOP,"on the poop, astern [adv]"
APORT,towards the left side of a ship [adv]
APPAL,"to horrify, also APPALL [v APPALLED, APPALLING, APPALS]"
APPAY,"to satisfy, also APAY [v APPAYD or APPAID, APPAYING, APPAYS]"
APPLE,the firm round edible fruit of the apple tree [n -S]
APPLY,"to bring to bear [v APPLIED, APPLYING, APPLIES]"
APRON,"a piece of cloth, leather, etc. worn in front, esp. to protect clothes from dirt or damage [n -S] / to cover with or as with an apron [v -ED, -ING, -S]"
APSES,"APSE, a rounded extension at the end of a building, esp. at the east end of a church [n]"
APTED,"APT, to adapt [v]"
APTER,"APT, suited to [adj]"
APTLY,"APT, suited to [adv]"
ARARS,"ARAR, the sandarac tree [n]"
ARCED,"ARC, to make an electric discharge [v]"
AREAL,relating to an area [adj AREALLY]
AREAR,"an unpaid and overdue debt, also ARREAR [n -S]"
AREFY,"to dry up [v AREFIED, AREFYING, AREFIES]"
AREIC,of an area of the earth with little surface drainage [adj]
ARENE,an aromatic hydrocarbon [n -S]
ARGIL,a potter's clay [n -S]
ARGLE,"to argue [v ARGLED, ARGLING, ARGLES]"
ARGON,an inert gaseous element [n -S]
ARGUE,"to discuss with reasoning [v ARGUED, ARGUING, ARGUES]"
ARILS,"ARIL, an additional envelope, often fleshy, developed around the seed in certain plants (e.g. yew), also ARILLUS [n]"
ARIOT,in riot [adv]
ARISE,"to come up [v AROSE, ARISEN, ARISING, ARISES]"
ARLED,"ARLE, to give earnest-money [v]"
ARLES,"ARLE, to give earnest-money [v]"
ARMED,"ARM, to supply with weapons [v]"
ARMER,one who arms [n -S]
ARMET,a kind of medieval helmet [n -S]
ARMIL,"a bracelet, also ARMILLA [n -S]"
ARNUT,"the earthnut, an edible root tuber of a woodland umbellifer [n -S]"
AROID,any plant of the arum family [n -S]
AROMA,a distinctive fragrance [n -S]
AROSE,"ARISE, to come up [v]"
ARPAS,"ARPA, a top level internet domain [n]"
ARRAS,a rich tapestry [n -ES]
ARRAY,"to place in order [v -ED, -ING, -S]"
ARRIS,"a sharp edge on stone, metal etc. at the meeting of two surfaces [n -ES]"
ARROW,"to indicate the position with a straight pointed missile [v -ED, -ING, -S]"
ARSED,"ARSE, as in ""to arse about"", to muck around [v]"
ARSES,ARSE [n]
ARSON,the malicious or fraudulent burning of property [n -S]
ARTSY,"arty [adj ARTSIER, ARTSIEST] / an arty person [n ARTSIES]"
ARUMS,"ARUM, a perennial plant of the cuckoo pint or wake-robin genus [n]"
ARYLS,"ARYL, any aromatic univalent hydrocarbon radical [n]"
ASCON,a type of sponge [n -S]
ASCOT,a type of necktie with broad ends [n -S]
ASDIC,an apparatus for locating e.g. submarines underwater by the use of ultrasonics [n -S]
ASHED,"ASH, to convert something into ash [v]"
ASHEN,very pale [adj]
ASHES,"ASH, to convert something into ash [v]"
ASIDE,on or to one side [adv] / a comment by an actor intended to be heard by the audience but not the other actors [n -S]
ASKED,"ASK, to inquire or request [v]"
ASKER,one who asks [n -S]
ASKEW,awry [adj]
ASPEN,"the trembling poplar, also ASPINE [n -S]"
ASPIC,"a clear savoury meat or fish-jelly used as a glaze, also ASPIS [n -S]"
ASPIS,"a clear savoury meat or fish-jelly used as a glaze, also ASPIC [n -ES]"
ASSAY,"to put to the proof, to make trial of [v -ED, -ING, -S]"
ASSES,"ASS, a longhaired animal like a small horse; a stupid person [n]"
ASSET,an item of worth [n -S]
ASSOT,"to make a fool of [v ASSOTTED, ASSOTTING, ASSOTS]"
ASTER,"a plant of the Aster genus of Compositae, with large showy flowers [n -S]"
ASTIR,on the move [adj]
ASWAY,in a swaying state [adv]
ASWIM,afloat [adv]
ATAXY,"loss of muscular coordination, also ATAXIA [n ATAXIES]"
ATILT,being in a tilted position [adj]
ATIMY,loss of honour [n ATIMIES]
ATLAS,a book of maps [n -ES] / a male figure serving as a column of a building [n ATLANTES]
ATOCS,"ATOC, a species of skunk, also ATOK [n]"
ATOKE,a sexless part of some worms [n -S]
ATOKS,"ATOK, a species of skunk, also ATOC [n]"
ATOLL,a coral island consisting of a reef surrounding a lagoon [n -S]
ATOMS,"ATOM, the smallest particle in an element which can take part in a chemical reaction [n]"
ATONE,"to make amends [v ATONED, ATONING, ATONES]"
ATONY,"muscular debility, also ATONIA [n ATONIES]"
ATOPY,an inherited tendency to general allergy [n ATOPIES]
ATRIP,"of an anchor when it is just drawn out of the ground, in a perpendicular position [adv]"
ATTIC,a room in the roof of a house [n -S]
AUDAD,"a North African wild sheep, also AOUDAD [n -S]"
AUDIO,reproduction of recorded or broadcast sounds [n -S]
AUDIT,"to examine accounts [v -ED, -ING, -S]"
AUGER,a kind of boring tool [n -S]
AUGHT,"anything, also OUCHT, OWT [n -S]"
AUGUR,"to foretell from signs [v -ED, -ING, -S]"
AULIC,relating to a royal court [adj]
AUMIL,"a factor or manager in India, a collector of revenues [n -S]"
AUNTS,"AUNT, the sister of a mother or father [n]"
AUNTY,"an aunt, also AUNTIE [n AUNTIES]"
AURAL,pertaining to the ear or hearing [adj AURALLY]
AURIC,"pertaining to, like or composed of gold [adj]"
AUTOS,"AUTO, to ride in an automobile [v]"
AUXIN,a substance increasing the growth of plants; a plant hormone [n -S]
AVAIL,"to be of use or advantage to [v -ED, -ING, -S]"
AVAST,stop [interj]
AVENS,any plant of the genus Geum e.g. water avens [n -ES]
AVERS,"AVER, to declare positively [v]"
AVERT,"to ward off [v -ED, -ING, -S]"
AVGAS,any kind of aviation gasoline [n AVGASES or AVGASSES]
AVIAN,of or relating to birds [adj] / a bird [n -S]
AVINE,pertaining to birds [adj]
AVISE,"to advise, also AVIZE, AVYZE [v AVISED, AVISING, AVISES]"
AVIZE,"to advise, also AVISE, AVYZE [v AVIZED, AVIZING, AVIZES]"
AVOID,"to evade [v -ED, -ING, -S]"
AVOWS,"AVOW, to declare [v]"
AVYZE,"to advise, also AVISE, AVIZE [v AVYZED, AVYZING, AVYZES]"
AWAIT,"to wait for [v -ED, -ING, -S]"
AWAKE,"to rouse from sleep [v AWOKE or AWAKED, AWOKEN, AWAKING, AWAKES]"
AWARD,"to grant as merited [v -ED, -ING, -S]"
AWARE,"knowing and alert [adj AWARER, AWAREST]"
AWASH,covered with water [adj]
AWAYS,"AWAY, a game played on the opponent's territory [n]"
AWFUL,"horrible [adj AWFULLER, AWFULLEST, AWFULLY]"
AWING,"AWE, to strike with fear [v]"
AWMRY,"a cupboard for sacred vessels, also AMBRY, ALMERY, AMBERY, AUMBRY, AWMRIE [n AWMRIES]"
AWNED,"AWN, to shelter with an awning [v]"
AWNER,a machine for removing the awns from grain [n -S]
AWOKE,"AWAKE, to rouse from sleep [v]"
AWOLS,"AWOL, one who is absent without leave [n]"
AWORK,at work [adv]
AXELS,"AXEL, in figure-skating, a jump from one skate to the other [n]"
AXIAL,"pertaining to an axis, also AXAL [adj]"
AXILE,"coinciding with an axis, also AXAL, AXIAL [adj]"
AXILS,"AXIL, the upper angle between leaf and stem [n]"
AXIOM,a self-evident truth [n -S]
AXION,a hypothetical subatomic particle [n -S]
AXITE,a type of smokeless gunpowder [n -S]
AXLED,having an axle [adj]
AXLES,"AXLE, a shaft upon which a wheel revolves [n]"
AXMAN,"a man who uses an axe, also AXEMAN [n AXMEN]"
AXMEN,"AXMAN, a man who uses an axe, also AXEMAN [n]"
AXOID,a curve generated by the revolution of a point round an advancing axis [n -S]
AXONE,"a nerve fibre, also AXON [n -S]"
AYELP,in a state of yelping [adv]
AYRIE,"the nest of a bird of prey, also EYRIE, AERIE, AERY, AIERY [n -S]"
AZIDE,a salt of hydrazoic acid [n -S]
AZIDO,"of a compound, containing azide [adj]"
AZINE,a type of nitrogen compound [n -S]
AZLON,a textile fibre made from regenerated soybean protein [n -S]
AZOIC,"lacking life, esp. of geological period [adj]"
AZOLE,any of various organic compounds with a five-membered ring [n -S]
AZONS,"AZON, a radio-controlled aerial bomb [n]"
AZOTE,an old name for nitrogen [n -S]
AZURE,"a delicate blue colour, also AZURY [n -S]"
AZURY,"a bluish colour, also AZURE, AZUREAN, AZURN [n AZURIES]"
AZYGY,a state of being unpaired [n AZYGIES]
AZYME,"unleavened bread, also AZYM [n -S]"
AZYMS,"AZYM, unleavened bread, also AZYME [n]"
BAAED,"BAA, to cry like a sheep [v]"
BACHS,"BACH, a Welsh term of address [n]"
BACKS,"BACK, to help or support [v]"
BACON,cured and salted pig flesh [n -S]
BADDY,"a bad person, also BADDIE [n BADDIES]"
BADGE,"to supply with an insignia [v BADGED, BADGING, BADGES]"
BADLY,"BAD, not good [adv]"
BAGGY,"loose fitting [adj BAGGIER, BAGGIEST, BAGGILY]"
BAILS,"BAIL, to set free by putting up security [v]"
BAITS,"BAIT, to set a trap etc. with food [v]"
BAIZE,"to cover with a green cloth [v BAIZED, BAIZING, BAIZES]"
BAKED,"BAKE, to cook in an oven [v]"
BAKEN,"BAKE, to cook in an oven [v]"
BAKER,one that bakes [n -S]
BAKES,"BAKE, to cook in an oven [v]"
BALAS,"a variety of spinel ruby, of a pale rose red [n -ES]"
BALDS,"BALD, to lose one's hair [v]"
BALDY,"a bald person [n BALDIES] / having no hair [adj BALDIER, BALDIEST]"
BALED,"BALE, to form into tightly compressed bundles [v]"
BALER,one who bales [n -S]
BALES,"BALE, to form into tightly compressed bundles [v]"
BALKS,"BALK, to refrain from proceeding, also BAUK, BAULK [v]"
BALKY,"apt to balk; as, a balky horse, also BAULKY [adj BALKIER, BALKIEST, BALKILY]"
BALLS,"to mess up [v BALLSED, BALLSING, BALLSES]"
BALLY,"a euphemism for bloody [adj BALLIER, BALLIEST] / a noisy uproar [n BALLIES]"
BALMS,"BALM, to embalm [v]"
BALMY,"mild, temperate [adj BALMIER, BALMIEST, BALMILY]"
BALUN,a device for coupling two electrical circuits [n -S]
BANAL,"flat and uninteresting [adj BANALER, BANALEST, BANALLY]"
BANCO,the standard money for a bank's accounts [n -S]
BANDS,"BAND, to decorate with strips of material [v]"
BANDY,"to toss to and fro [v BANDIED, BANDYING, BANDIES] / having crooked legs [adj BANDIER, BANDIEST]"
BANED,"BANE, to kill with poison [v]"
BANES,"BANE, to kill with poison [v]"
BANGS,"BANG, to make a loud, explosive noise [v]"
BANJO,a stringed musical instrument [n BANJOS or BANJOES]
BANKS,"BANK, to deposit money for safe keeping in an institution [v]"
BANNS,a marriage notice [n]
BANTS,"BANT, to diet [v]"
BANTU,a group of African languages [n -S]
BANTY,a bantam [n BANTIES]
BANYA,a Russian sauna-type bath [n -S]
BARDE,"to cover a horse with armour, also BARD [v BARDED, BARDING, BARDES]"
BARDO,"in Tibetan Buddhism, the intermediate stage between death and rebirth [n -S]"
BARDS,"BARD, to cover a horse with armour, also BARDE [v]"
BARED,"BARE, to make bare [v]"
BARER,"BARE, unclothed, uncovered [adj]"
BARES,"BARE, to make bare [v]"
BARGE,"to push one's way rudely [v BARGED, BARGING, BARGES]"
BARIC,of or containing barium [adj]
BARKS,"BARK, to make a sound like a dog [v]"
BARKY,"having a tough outer covering [adj BARKIER, BARKIEST]"
BARMS,"BARM, the froth of malt liquors [n]"
BARMY,"foamy, dotty, also BARMIE [adj BARMIER, BARMIEST, BARMILY]"
BARNS,"BARN, to store in a large storage building [v]"
BARNY,"like a barn [adj BARNIER, BARNIEST]"
BARON,a lower member of the nobility [n -S]
BARYE,a unit of pressure [n -S]
BASAL,"relating to, or forming, the base [adj BASALLY]"
BASED,"BASE, to place on a foundation [v]"
BASER,"BASE, mean [adj]"
BASES,"BASE, to place on a foundation [v]"
BASIC,fundamental [adj BASICALLY] / a fundamental [n -S]
BASIJ,"in Iran, volunteer vigilantes who enforce strict Islamic behaviour and dress code, esp. on women, also BASEEJ [n]"
BASIL,an aromatic herb [n -S]
BASIN,"a wide dish, also BASON [n -S]"
BASIS,the foundation [n BASES]
BASKS,"BASK, to relax in pleasant warmth [v]"
BASSE,a European fish of the sea-perch family [n -S]
BASSY,"somewhat deep in sound [adj BASSIER, BASSIEST]"
BASTS,"BAST, the inner bark, esp. of lime [n]"
BATCH,"to collect together [v -ED, -ING, -ES]"
BATED,"BATE, to diminish, also BAYT [v]"
BATES,"BATE, to diminish, also BAYT [v]"
